start,end,score,VarName4
00:29:09,00:29:13,0.742,MNT
00:29:15,00:29:19,0.312,MNT
00:29:20,00:29:24,0.531,MNT
00:29:26,00:29:30,0.434,MNT
00:29:32,00:29:36,0.688,MNT
00:29:37,00:29:41,0.172,MNT
00:29:43,00:29:47,0.152,MNT
00:29:48,00:29:53,0.312,MNT
00:29:54,00:29:58,0.902,MNT
00:30:00,00:30:04,0.809,MNT
00:30:05,00:30:09,0.848,MNT
00:30:11,00:30:15,0.402,MNT
00:30:17,00:30:21,0.004,Noise
00:30:22,00:30:26,0.02,Noise
00:30:28,00:30:32,0.004,Noise
00:30:34,00:30:38,0.004,Noise
00:30:39,00:30:43,0.004,Noise
00:30:45,00:30:49,0.008,Noise
00:30:50,00:30:54,0.023,Noise
00:30:56,00:31:00,0.035,Noise
00:31:02,00:31:06,0.008,Noise
00:31:07,00:31:11,0.016,Noise
00:31:13,00:31:17,0.008,Noise
00:31:19,00:31:23,0.012,Noise
00:31:24,00:31:28,0.004,Noise
00:31:30,00:31:34,0.004,Noise
00:31:35,00:31:40,0.004,Noise
00:31:41,00:31:45,0.211,Noise
00:31:47,00:31:51,0.086,Noise
00:31:52,00:31:56,0.191,Noise
00:31:58,00:32:02,0.152,Noise
00:32:04,00:32:08,0.098,Noise
00:32:09,00:32:13,0.152,Noise
00:32:15,00:32:19,0.137,Noise
00:32:21,00:32:25,0.656,Noise
00:32:26,00:32:30,0.715,Noise
00:32:32,00:32:36,0.848,Noise
00:32:37,00:32:41,0.688,Noise
00:32:43,00:32:47,0.434,Noise
00:32:49,00:32:53,0.789,Noise
00:32:54,00:32:58,0.941,Noise
00:33:00,00:33:04,0.922,Noise
00:33:06,00:33:10,0.766,Noise
00:33:11,00:33:15,0.848,Noise
00:33:17,00:33:21,0.742,Noise
00:33:22,00:33:27,0.809,Noise
00:33:28,00:33:32,0.914,Noise
00:33:34,00:33:38,0.941,Noise
00:33:39,00:33:43,0.891,Noise
00:33:45,00:33:49,0.863,Noise
00:33:51,00:33:55,0.914,Noise
00:33:56,00:34:00,0.848,Noise
00:34:02,00:34:06,0.766,Noise
00:34:08,00:34:12,0.863,Noise
00:34:13,00:34:17,0.973,Noise
00:34:19,00:34:23,0.98,LNT
00:34:24,00:34:29,0.977,LNT
00:34:30,00:34:34,0.027,LNT
00:34:36,00:34:40,0.996,LNT
00:34:41,00:34:45,0.059,LNT
00:34:47,00:34:51,0.996,LNT
00:34:53,00:34:57,0.992,LNT
00:34:58,00:35:02,0.848,LNT
00:35:04,00:35:08,0.863,LNT
00:35:10,00:35:14,0.016,LNT
00:35:15,00:35:19,0.996,LNT
00:35:21,00:35:25,0.996,LNT
00:35:26,00:35:30,0.996,LNT
00:35:32,00:35:36,0.996,LNT
00:35:38,00:35:42,0.996,LNT
00:35:43,00:35:47,0.996,LNT
00:35:49,00:35:53,0.996,LNT
00:35:55,00:35:59,0.973,LNT
00:36:00,00:36:04,0.996,LNT
00:36:06,00:36:10,0.996,LNT
00:36:11,00:36:16,0.996,LNT
00:36:17,00:36:21,0.004,Noise
