Timestamp;F_Score;Photo ID;Expected_outcome;;
17:08;0.125;413;Noise;;
17:12;0.098;414;Noise;;
17:17;0.547;415;Noise;;
17:20;0.453;416;Noise;;
17:24;0.512;417;Noise;;
17:28;0.500;418;Noise;;
17:32;0.465;419;Noise;;
17:35;0.523;420;Noise;;
17:39;0.488;421;Noise;;
17:44;0.477;422;Noise;;
17:48;0.207;423;Noise;;
17:51;0.184;424;Noise;;
17:55;0.223;425;Noise;;
18:00;0.301;426;Noise;;
18:04;0.199;427;Noise;;
18:08;0.246;428;Noise;;
18:12;0.215;429;Noise;;
18:16;0.867;430;LNT;;
18:19;0.887;431;LNT;;
18:23;0.895;432;LNT;;
18:27;0.824;433;LNT;;
18:32;0.887;434;LNT;;
18:35;0.941;435;LNT;;
18:39;0.938;436;LNT;;
18:43;0.891;437;LNT;;
18:46;0.961;438;LNT;;
18:50;0.949;439;LNT;;
18:54;0.957;440;LNT;;
18:59;0.961;441;LNT;;
19:02;0.961;442;LNT;;
19:06;0.961;443;LNT;;
19:10;0.949;444;LNT;;
19:13;0.961;445;LNT;;
19:17;0.980;446;LNT;;
19:21;0.984;447;LNT;;
19:24;0.984;448;LNT;;
19:28;0.984;449;LNT;;
19:32;0.984;450;LNT;;
19:37;0.992;451;LNT;;
19:41;0.984;452;LNT;;
19:45;0.988;453;LNT;;
19:49;0.992;454;LNT;;
19:52;0.996;455;LNT;;
19:56;0.992;456;LNT;;
20:00;0.992;457;LNT;;
20:04;0.996;458;LNT;;
20:08;0.988;459;LNT;;
20:11;0.992;460;LNT;;
20:17;0.945;461;Noise;;
20:20;0.922;462;Noise;;
20:24;0.941;463;Noise;;
20:28;0.941;464;Noise;;
20:32;0.938;465;Noise;;
20:35;0.930;466;Noise;;
20:39;0.938;467;Noise;;
20:43;0.930;468;Noise;;
20:47;0.648;469;Noise;;
20:52;0.602;470;Noise;;
20:56;0.613;471;Noise;;
20:59;0.699;472;Noise;;
21:03;0.719;473;Noise;;
21:07;0.602;474;Noise;;
21:10;0.637;475;Noise;;
21:14;0.699;476;Noise;;
21:18;0.070;477;Noise;;
21:23;0.090;478;Noise;;
21:26;0.059;479;Noise;;
21:30;0.133;480;Noise;;
21:34;0.074;481;Noise;;
21:38;0.102;482;Noise;;
21:41;0.074;483;Noise;;
21:45;0.078;484;Noise;;
21:49;0.934;485;Noise;;
21:54;0.945;486;Noise;;
21:57;0.941;487;Noise;;
22:01;0.961;488;Noise;;
22:05;0.953;489;Noise;;
22:08;0.957;490;Noise;;
22:12;0.938;491;Noise;;
22:17;0.012;492;Noise;;
22:21;0.012;493;Noise;;
22:24;0.023;494;Noise;;
22:28;0.023;495;Noise;;
22:32;0.020;496;Noise;;
22:35;0.020;497;Noise;;
22:39;0.012;498;Noise;;
22:43;0.023;499;Noise;;
22:48;0.512;500;Noise;;
22:52;0.613;501;Noise;;
22:55;0.668;502;Noise;;
22:59;0.559;503;Noise;;
23:03;0.648;504;Noise;;
23:07;0.582;505;Noise;;
23:10;0.418;506;Noise;;
23:15;0.613;507;Noise;;
23:19;0.707;508;Noise;;
23:22;0.656;509;Noise;;
23:26;0.688;510;Noise;;
23:30;0.688;511;Noise;;
23:33;0.754;512;Noise;;
23:37;0.770;513;Noise;;
23:41;0.770;514;Noise;;
23:46;0.031;515;Noise;;
23:49;0.023;516;Noise;;
23:53;0.031;517;Noise;;
23:57;0.039;518;Noise;;
24:00;0.027;519;Noise;;
24:04;0.035;520;Noise;;
24:08;0.039;521;Noise;;
24:13;0.035;522;Noise;;
24:17;0.938;523;LNT;;
24:20;0.926;524;LNT;;
24:24;0.941;525;LNT;;
24:28;0.914;526;LNT;;
24:32;0.910;527;LNT;;
24:35;0.914;528;LNT;;
24:39;0.922;529;LNT;;
24:44;0.926;530;LNT;;
24:48;0.992;531;LNT;;
24:52;0.988;532;LNT;;
24:55;0.988;533;LNT;;
24:59;0.988;534;LNT;;
25:03;0.988;535;LNT;;
25:08;0.992;536;LNT;;
25:11;0.992;537;LNT;;
25:16;0.980;538;LNT;;
25:20;0.973;539;LNT;;
25:23;0.980;540;LNT;;
25:28;0.980;541;LNT;;
25:31;0.977;542;LNT;;
25:35;0.980;543;LNT;;
25:40;0.980;544;LNT;;
25:43;0.980;545;LNT;;
25:47;0.953;546;LNT;;
25:51;0.965;547;LNT;;
25:54;0.973;548;LNT;;
25:58;0.965;549;LNT;;
26:02;0.965;550;LNT;;
26:07;0.930;551;LNT;;
26:11;0.953;552;LNT;;
26:15;0.965;553;LNT;;
26:19;0.680;554;MNT;;
26:22;0.680;555;MNT;;
26:26;0.699;556;MNT;;
26:30;0.824;557;MNT;;
26:33;0.727;558;MNT;;
26:38;0.801;559;MNT;;
26:42;0.688;560;MNT;;
26:46;0.938;561;MNT;;
26:50;0.926;562;MNT;;
26:53;0.941;563;MNT;;
26:57;0.965;564;MNT;;
27:01;0.941;565;MNT;;
27:05;0.957;566;MNT;;
27:10;0.930;567;MNT;;
27:13;0.945;568;MNT;;
27:17;0.559;569;MNT;;
27:21;0.688;570;MNT;;
27:24;0.500;571;MNT;;
27:28;0.625;572;MNT;;
27:33;0.648;573;MNT;;
27:37;0.625;574;MNT;;
27:41;0.602;575;MNT;;
27:44;0.613;576;MNT;;
27:50;0.961;577;MNT;;
27:53;0.941;578;MNT;;
27:57;0.910;579;MNT;;
28:01;0.930;580;MNT;;
28:05;0.934;581;MNT;;
28:09;0.941;582;MNT;;
28:12;0.957;583;MNT;;
28:16;0.945;584;MNT;;
28:20;0.941;585;MNT;;
28:23;0.949;586;MNT;;
28:27;0.973;587;MNT;;
28:32;0.930;588;MNT;;
28:36;0.930;589;MNT;;
28:40;0.945;590;MNT;;
28:44;0.918;591;MNT;;
28:47;0.996;592;MNT;;
28:51;0.996;593;MNT;;
28:55;0.996;594;MNT;;
28:58;0.996;595;MNT;;
29:04;0.996;596;MNT;;
29:07;0.996;597;MNT;;
29:11;0.996;598;MNT;;
29:15;0.996;599;MNT;;
29:18;0.949;600;MNT;;
29:22;0.965;601;MNT;;
29:26;0.957;602;MNT;;
29:31;0.977;603;MNT;;
29:35;0.938;604;MNT;;
29:38;0.941;605;MNT;;
29:42;0.941;606;MNT;;
29:46;0.996;607;MNT;;
29:50;0.996;608;MNT;;
29:55;0.996;609;MNT;;
29:58;0.996;610;MNT;;
30:02;0.996;611;MNT;;
30:06;0.996;612;MNT;;
30:10;0.996;613;MNT;;
30:15;0.996;614;MNT;;
30:19;0.133;615;Noise;;
30:22;0.129;616;Noise;;
30:26;0.172;617;Noise;;
30:30;0.133;618;Noise;;
30:34;0.117;619;Noise;;
30:37;0.125;620;Noise;;
30:41;0.145;621;Noise;;
30:45;0.109;622;Noise;;
30:49;0.387;623;Noise;;
30:53;0.559;624;Noise;;
30:57;0.441;625;Noise;;
31:00;0.398;626;Noise;;
31:04;0.398;627;Noise;;
31:08;0.320;628;Noise;;
31:11;0.441;629;Noise;;
31:15;0.332;630;Noise;;
31:20;0.074;631;Noise;;
31:24;0.070;632;Noise;;
31:27;0.090;633;Noise;;
31:31;0.074;634;Noise;;
31:35;0.070;635;Noise;;
31:38;0.098;636;Noise;;
31:42;0.105;637;Noise;;
31:47;0.113;638;Noise;;
31:51;0.156;639;Noise;;
31:55;0.230;640;Noise;;
31:58;0.125;641;Noise;;
32:02;0.184;642;Noise;;
32:06;0.145;643;Noise;;
32:09;0.172;644;Noise;;
32:14;0.141;645;Noise;;
32:18;0.004;646;Noise;;
32:22;0.008;647;Noise;;
32:25;0.004;648;Noise;;
32:29;0.008;649;Noise;;
32:33;0.004;650;Noise;;
32:38;0.004;651;Noise;;
32:42;0.004;652;Noise;;
32:45;0.004;653;Noise;;
32:49;0.070;654;Noise;;
32:54;0.062;655;Noise;;
32:57;0.070;656;Noise;;
33:01;0.078;657;Noise;;
33:05;0.086;658;Noise;;
33:09;0.062;659;Noise;;
33:13;0.074;660;Noise;;
33:17;0.547;661;Noise;;
33:20;0.602;662;Noise;;
33:25;0.559;663;Noise;;
33:29;0.559;664;Noise;;
33:32;0.512;665;Noise;;
33:36;0.523;666;Noise;;
33:40;0.535;667;Noise;;
33:44;0.594;668;Noise;;
33:47;0.012;669;Noise;;
33:51;0.012;670;Noise;;
33:55;0.012;671;Noise;;
33:58;0.016;672;Noise;;
34:02;0.020;673;Noise;;
34:08;0.020;674;Noise;;
34:12;0.020;675;Noise;;
34:15;0.020;676;Noise;;
34:19;0.984;677;LNT;;
34:23;0.984;678;LNT;;
34:26;0.992;679;LNT;;
34:30;0.988;680;LNT;;
34:34;0.992;681;LNT;;
34:38;0.988;682;LNT;;
34:43;0.988;683;LNT;;
34:47;0.988;684;LNT;;
34:51;0.988;685;LNT;;
34:54;0.984;686;LNT;;
34:58;0.984;687;LNT;;
35:02;0.984;688;LNT;;
35:06;0.988;689;LNT;;
35:11;0.988;690;LNT;;
35:15;0.980;691;LNT;;
35:18;0.996;692;LNT;;
35:22;0.996;693;LNT;;
35:26;0.996;694;LNT;;
35:30;0.996;695;LNT;;
35:35;0.996;696;LNT;;
35:39;0.996;697;LNT;;
35:42;0.996;698;LNT;;
35:46;0.949;699;LNT;;
35:50;0.930;700;LNT;;
35:53;0.945;701;LNT;;
35:58;0.945;702;LNT;;
36:02;0.945;703;LNT;;
36:06;0.934;704;LNT;;
36:10;0.906;705;LNT;;
36:13;0.914;706;LNT;;
36:17;0.051;707;Noise;;
36:21;0.055;708;Noise;;
36:24;0.055;709;Noise;;
36:28;0.055;710;Noise;;
36:34;0.027;711;Noise;;
36:38;0.051;712;Noise;;
36:41;0.055;713;Noise;;
36:45;0.047;714;Noise;;
36:49;0.762;715;Noise;;
36:53;0.836;716;Noise;;
36:56;0.844;717;Noise;;
37:00;0.809;718;Noise;;
37:05;0.785;719;Noise;;
37:09;0.770;720;Noise;;
37:13;0.816;721;Noise;;
37:17;0.430;722;Noise;;
37:21;0.500;723;Noise;;
37:25;0.465;724;Noise;;
37:29;0.430;725;Noise;;
37:32;0.453;726;Noise;;
37:36;0.465;727;Noise;;
37:40;0.488;728;Noise;;
37:44;0.488;729;Noise;;
37:47;0.801;730;Noise;;
37:53;0.875;731;Noise;;
37:56;0.859;732;Noise;;
38:01;0.809;733;Noise;;
38:05;0.824;734;Noise;;
38:08;0.785;735;Noise;;
38:12;0.824;736;Noise;;
38:16;0.535;737;Noise;;
38:20;0.500;738;Noise;;
38:25;0.559;739;Noise;;
38:29;0.488;740;Noise;;
38:32;0.477;741;Noise;;
38:36;0.535;742;Noise;;
38:40;0.547;743;Noise;;
38:43;0.535;744;Noise;;
38:47;0.176;745;Noise;;
38:52;0.281;746;Noise;;
38:56;0.191;747;Noise;;
39:00;0.145;748;Noise;;
39:03;0.312;749;Noise;;
39:07;0.074;750;Noise;;
39:11;0.098;751;Noise;;
39:16;0.098;752;Noise;;
39:19;0.055;753;Noise;;
39:23;0.059;754;Noise;;
39:27;0.031;755;Noise;;
39:30;0.023;756;Noise;;
39:35;0.059;757;Noise;;
39:38;0.031;758;Noise;;
39:42;0.051;759;Noise;;
39:46;0.039;760;Noise;;
39:49;0.059;761;Noise;;
39:53;0.051;762;Noise;;
39:57;0.102;763;Noise;;
40:00;0.059;764;Noise;;
40:06;0.078;765;Noise;;
40:09;0.055;766;Noise;;
40:13;0.062;767;Noise;;
40:16;0.965;768;MNT;;
40:21;0.977;769;MNT;;
40:25;0.957;770;MNT;;
40:28;0.977;771;MNT;;
40:33;0.973;772;MNT;;
40:37;0.961;773;MNT;;
40:41;0.961;774;MNT;;
40:44;0.949;775;MNT;;
40:48;0.613;776;MNT;;
40:52;0.602;777;MNT;;
40:56;0.500;778;MNT;;
40:59;0.613;779;MNT;;
41:05;0.613;780;MNT;;
41:08;0.559;781;MNT;;
41:12;0.602;782;MNT;;
41:16;0.746;783;MNT;;
41:20;0.746;784;MNT;;
41:23;0.770;785;MNT;;
41:27;0.770;786;MNT;;
41:32;0.656;787;MNT;;
41:36;0.824;788;MNT;;
41:40;0.762;789;MNT;;
41:43;0.801;790;MNT;;
41:47;0.980;791;MNT;;
41:51;0.980;792;MNT;;
41:55;0.988;793;MNT;;
41:58;0.984;794;MNT;;
42:03;0.984;795;MNT;;
42:07;0.984;796;MNT;;
42:11;0.988;797;MNT;;
42:15;0.988;798;MNT;;
42:18;0.996;799;MNT;;
42:22;0.996;800;MNT;;
42:27;0.996;801;MNT;;
42:31;0.996;802;MNT;;
42:35;0.996;803;MNT;;
42:39;0.996;804;MNT;;
42:42;0.996;805;MNT;;
42:47;0.934;806;MNT;;
42:52;0.941;807;MNT;;
42:55;0.902;808;MNT;;
42:59;0.941;809;MNT;;
43:03;0.953;810;MNT;;
43:07;0.930;811;MNT;;
43:10;0.953;812;MNT;;
43:14;0.949;813;MNT;;
43:18;0.992;814;MNT;;
43:22;0.984;815;MNT;;
43:27;0.988;816;MNT;;
43:31;0.988;817;MNT;;
43:34;0.988;818;MNT;;
43:38;0.988;819;MNT;;
43:42;0.988;820;MNT;;
43:46;0.980;821;MNT;;
43:49;0.977;822;MNT;;
43:53;0.977;823;MNT;;
43:58;0.977;824;MNT;;
44:02;0.980;825;MNT;;
44:06;0.984;826;MNT;;
44:09;0.980;827;MNT;;
44:13;0.969;828;MNT;;
44:17;0.293;829;Noise;;
44:21;0.238;830;Noise;;
44:26;0.344;831;Noise;;
44:30;0.293;832;Noise;;
44:33;0.293;833;Noise;;
44:37;0.363;834;Noise;;
44:41;0.375;835;Noise;;
44:45;0.184;836;Noise;;
44:48;0.883;837;Noise;;
44:53;0.918;838;Noise;;
44:57;0.891;839;Noise;;
45:01;0.934;840;Noise;;
45:04;0.902;841;Noise;;
45:09;0.910;842;Noise;;
45:13;0.902;843;Noise;;
45:17;0.129;844;Noise;;
45:21;0.105;845;Noise;;
45:24;0.117;846;Noise;;
45:30;0.145;847;Noise;;
45:33;0.152;848;Noise;;
45:37;0.125;849;Noise;;
45:42;0.129;850;Noise;;
45:45;0.230;851;Noise;;
45:49;0.129;852;Noise;;
45:53;0.145;853;Noise;;
45:57;0.074;854;Noise;;
46:00;0.070;855;Noise;;
46:04;0.109;856;Noise;;
46:09;0.109;857;Noise;;
46:13;0.113;858;Noise;;
46:17;0.941;859;ENT;;
46:21;0.926;860;ENT;;
46:24;0.938;861;ENT;;
46:28;0.930;862;ENT;;
46:32;0.945;863;ENT;;
46:35;0.938;864;ENT;;
46:40;0.953;865;ENT;;
46:44;0.941;866;ENT;;
46:48;0.363;867;ENT;;
46:52;0.230;868;ENT;;
46:56;0.477;869;ENT;;
47:00;0.430;870;ENT;;
47:04;0.441;871;ENT;;
47:08;0.430;872;ENT;;
47:11;0.230;873;ENT;;
47:15;0.363;874;ENT;;
47:19;0.680;875;ENT;;
47:22;0.734;876;ENT;;
47:27;0.707;877;ENT;;
47:31;0.699;878;ENT;;
47:35;0.727;879;ENT;;
47:38;0.656;880;ENT;;
47:42;0.688;881;ENT;;
47:47;0.988;882;ENT;;
47:51;0.984;883;ENT;;
47:55;0.988;884;ENT;;
47:59;0.988;885;ENT;;
48:03;0.984;886;ENT;;
48:06;0.984;887;ENT;;
48:10;0.980;888;ENT;;
48:15;0.984;889;ENT;;
48:18;0.770;890;ENT;;
48:22;0.719;891;ENT;;
48:26;0.762;892;ENT;;
48:29;0.824;893;ENT;;
48:33;0.809;894;ENT;;
48:38;0.734;895;ENT;;
48:42;0.793;896;ENT;;
48:45;0.848;897;ENT;;
48:49;0.777;898;ENT;;
48:53;0.930;899;ENT;;
48:56;0.875;900;ENT;;
49:00;0.824;901;ENT;;
49:05;0.871;902;ENT;;
49:09;0.859;903;ENT;;
49:12;0.914;904;ENT;;
49:16;0.637;905;ENT;;
