start,end,score
00:13:26,00:13:28,0.004,Noise
00:13:29,00:13:31,0.004,Noise
00:13:32,00:13:34,0.004,Noise
00:13:35,00:13:37,0.004,Noise
00:13:38,00:13:40,0.004,Noise
00:13:41,00:13:43,0.004,Noise
00:13:44,00:13:46,0.004,Noise
00:13:47,00:13:49,0.004,Noise
00:13:50,00:13:52,0.004,Noise
00:13:54,00:13:56,0.004,Noise
00:13:57,00:13:59,0.004,Noise
00:14:00,00:14:02,0.004,Noise
00:14:03,00:14:05,0.004,Noise
00:14:06,00:14:08,0.004,Noise
00:14:09,00:14:11,0.004,Noise
00:14:12,00:14:14,0.004,Noise
00:14:15,00:14:17,0.004,LNT
00:14:18,00:14:20,0.559,LNT
00:14:21,00:14:23,0.98,LNT
00:14:24,00:14:26,0,LNT
00:14:27,00:14:29,0.59,LNT
00:14:30,00:14:32,0.699,LNT
00:14:33,00:14:36,0.617,LNT
00:14:37,00:14:39,0.617,LNT
00:14:40,00:14:42,0.957,LNT
00:14:43,00:14:45,0.672,LNT
00:14:46,00:14:48,0.746,LNT
00:14:49,00:14:51,0.441,LNT
00:14:52,00:14:54,0.645,LNT
00:14:55,00:14:57,0.898,LNT
00:14:58,00:15:00,0.746,LNT
00:15:01,00:15:03,0.254,LNT
00:15:04,00:15:06,0.844,LNT
00:15:07,00:15:09,0.355,LNT
00:15:10,00:15:12,0.355,LNT
00:15:13,00:15:15,0.965,LNT
00:15:16,00:15:19,0.254,LNT
00:15:20,00:15:22,0.383,LNT
00:15:23,00:15:25,0.746,LNT
00:15:26,00:15:28,0.906,LNT
00:15:29,00:15:31,0.559,LNT
00:15:32,00:15:34,0.672,LNT
00:15:35,00:15:37,0.699,LNT
00:15:38,00:15:40,0.301,LNT
00:15:41,00:15:43,0.699,LNT
00:15:44,00:15:46,0.383,LNT
00:15:47,00:15:49,0.277,LNT
00:15:50,00:15:52,0.301,LNT
00:15:53,00:15:55,0.898,LNT
00:15:56,00:15:58,0.328,LNT
00:16:00,00:16:02,0.953,LNT
00:16:03,00:16:05,0.953,LNT
00:16:06,00:16:08,0.355,LNT
00:16:09,00:16:11,0.383,LNT
00:16:12,00:16:14,0.672,LNT
00:16:15,00:16:17,0.172,Noise
00:16:18,00:16:20,0.004,Noise
00:16:21,00:16:23,0.016,Noise
00:16:24,00:16:26,0.004,Noise
00:16:27,00:16:29,0.004,Noise
00:16:30,00:16:32,0.004,Noise
00:16:33,00:16:35,0.004,Noise
00:16:36,00:16:38,0.004,Noise
00:16:39,00:16:41,0.004,Noise
00:16:43,00:16:45,0.004,Noise
00:16:46,00:16:48,0.004,Noise
00:16:49,00:16:51,0.004,Noise
00:16:52,00:16:54,0.004,Noise
00:16:55,00:16:57,0.004,Noise
00:16:58,00:17:00,0.012,Noise
00:17:01,00:17:03,0.012,Noise
00:17:04,00:17:06,0.004,Noise
00:17:07,00:17:09,0.004,Noise
00:17:10,00:17:12,0.004,Noise
00:17:13,00:17:15,0.004,Noise
00:17:16,00:17:18,0.004,Noise
00:17:19,00:17:21,0.004,Noise
00:17:22,00:17:24,0.004,Noise
