start,end,score
00:28:21,00:28:23,0.613,MNT
00:28:25,00:28:27,0.613,MNT
00:28:29,00:28:31,0.832,MNT
00:28:32,00:28:34,0.961,MNT
00:28:36,00:28:38,0.969,MNT
00:28:39,00:28:41,0.797,MNT
00:28:43,00:28:45,0.992,MNT
00:28:47,00:28:48,0.992,MNT
00:28:50,00:28:52,0.941,MNT
00:28:54,00:28:56,0.926,MNT
00:28:57,00:28:59,0.961,MNT
00:29:01,00:29:03,0.992,MNT
00:29:04,00:29:06,0.953,MNT
00:29:08,00:29:10,0.996,MNT
00:29:12,00:29:14,0.664,MNT
00:29:15,00:29:17,0.832,MNT
00:29:19,00:29:21,0.977,MNT
00:29:22,00:29:24,0.832,MNT
00:29:26,00:29:28,0.242,MNT
00:29:30,00:29:31,0.996,MNT
00:29:33,00:29:35,0.992,MNT
00:29:37,00:29:39,0.758,MNT
00:29:40,00:29:42,0.953,MNT
00:29:44,00:29:46,0.961,MNT
00:29:47,00:29:49,0.559,MNT
00:29:51,00:29:53,0.996,MNT
00:29:55,00:29:57,0.91,MNT
00:29:58,00:30:00,0.996,MNT
00:30:02,00:30:04,0.715,MNT
00:30:05,00:30:07,0.996,MNT
00:30:09,00:30:11,0.961,MNT
00:30:13,00:30:14,0.336,MNT
00:30:16,00:30:18,0.02,Noise
00:30:20,00:30:22,0.137,Noise
00:30:23,00:30:25,0.074,Noise
00:30:27,00:30:29,0.059,Noise
00:30:30,00:30:32,0.168,Noise
00:30:34,00:30:36,0.074,Noise
00:30:38,00:30:40,0.039,Noise
00:30:41,00:30:43,0.074,Noise
00:30:45,00:30:47,0.047,Noise
00:30:48,00:30:50,0.047,Noise
00:30:52,00:30:54,0.039,Noise
00:30:56,00:30:57,0.113,Noise
00:30:59,00:31:01,0.09,Noise
00:31:03,00:31:05,0.137,Noise
00:31:06,00:31:08,0.09,Noise
00:31:10,00:31:12,0.168,Noise
00:31:13,00:31:15,0.137,Noise
00:31:17,00:31:19,0.113,Noise
00:31:21,00:31:23,0.137,Noise
00:31:24,00:31:26,0.004,Noise
00:31:28,00:31:30,0.004,Noise
00:31:31,00:31:33,0.004,Noise
00:31:35,00:31:37,0.012,Noise
00:31:39,00:31:40,0.004,Noise
00:31:42,00:31:44,0.074,Noise
00:31:46,00:31:48,0.039,Noise
00:31:49,00:31:51,0.09,Noise
00:31:53,00:31:55,0.047,Noise
00:31:56,00:31:58,0.047,Noise
00:32:00,00:32:02,0.074,Noise
00:32:04,00:32:06,0.09,Noise
00:32:07,00:32:09,0.09,Noise
00:32:11,00:32:13,0.047,Noise
00:32:14,00:32:16,0.137,Noise
00:32:18,00:32:20,0.559,Noise
00:32:22,00:32:24,0.715,Noise
00:32:25,00:32:27,0,Noise
00:32:29,00:32:31,0.613,Noise
00:32:32,00:32:34,0.387,Noise
00:32:36,00:32:38,0.336,Noise
00:32:39,00:32:41,0.613,Noise
00:32:43,00:32:45,0.137,Noise
00:32:47,00:32:49,0.441,Noise
00:32:50,00:32:52,0.984,Noise
00:32:54,00:32:56,0.953,Noise
00:32:57,00:32:59,0.137,Noise
00:33:01,00:33:03,0.996,Noise
00:33:05,00:33:07,0.797,Noise
00:33:08,00:33:10,0.98,Noise
00:33:12,00:33:14,0.387,Noise
00:33:15,00:33:17,0.887,Noise
00:33:19,00:33:21,0.336,Noise
00:33:22,00:33:24,0.336,Noise
00:33:26,00:33:28,0.664,Noise
00:33:30,00:33:32,0.559,Noise
00:33:33,00:33:35,0.074,Noise
00:33:37,00:33:39,0.664,Noise
00:33:40,00:33:42,0.285,Noise
00:33:44,00:33:46,0.988,Noise
00:33:48,00:33:50,0,Noise
00:33:51,00:33:53,0.941,Noise
00:33:55,00:33:57,0.441,Noise
00:33:58,00:34:00,0.91,Noise
00:34:02,00:34:04,0.203,Noise
00:34:05,00:34:07,0.387,Noise
00:34:09,00:34:11,0.715,Noise
00:34:13,00:34:15,0.863,Noise
00:34:16,00:34:18,0.039,LNT
00:34:20,00:34:22,0.168,LNT
00:34:23,00:34:25,0.559,LNT
00:34:27,00:34:29,0.797,LNT
00:34:31,00:34:33,0.797,LNT
00:34:34,00:34:36,0.336,LNT
00:34:38,00:34:40,0.004,LNT
00:34:41,00:34:43,0.863,LNT
00:34:45,00:34:47,0.387,LNT
00:34:48,00:34:50,0.941,LNT
00:34:52,00:34:54,0.926,LNT
00:34:56,00:34:58,0.953,LNT
00:34:59,00:35:01,0.008,LNT
00:35:03,00:35:05,0.797,LNT
00:35:06,00:35:08,0.012,LNT
00:35:10,00:35:12,0.031,LNT
00:35:14,00:35:16,0.996,LNT
00:35:17,00:35:19,0.996,LNT
00:35:21,00:35:23,0.961,LNT
00:35:24,00:35:26,0.996,LNT
00:35:28,00:35:30,0.996,LNT
00:35:31,00:35:33,0.996,LNT
00:35:35,00:35:37,0.996,LNT
00:35:39,00:35:41,0.996,LNT
00:35:42,00:35:44,0.996,LNT
00:35:46,00:35:48,0.996,LNT
00:35:49,00:35:51,0.715,LNT
00:35:53,00:35:55,0.996,LNT
00:35:57,00:35:59,0.996,LNT
00:36:00,00:36:02,0.996,LNT
00:36:04,00:36:06,0.988,LNT
00:36:07,00:36:09,0.996,LNT
00:36:11,00:36:13,0.969,LNT
00:36:15,00:36:16,0.016,Noise
00:36:18,00:36:20,0.004,Noise
00:36:22,00:36:24,0.004,Noise
00:36:25,00:36:27,0.004,Noise
00:36:29,00:36:31,0.004,Noise
00:36:32,00:36:34,0.004,Noise
00:36:36,00:36:38,0.004,Noise
00:36:40,00:36:42,0.004,Noise
00:36:43,00:36:45,0.004,Noise
00:36:47,00:36:49,0.004,Noise
00:36:50,00:36:52,0.004,Noise
00:36:54,00:36:56,0.004,Noise
00:36:58,00:36:59,0.004,Noise
00:37:01,00:37:03,0.004,Noise
00:37:05,00:37:07,0.004,Noise
00:37:08,00:37:10,0.004,Noise
00:37:12,00:37:14,0.004,Noise
00:37:15,00:37:17,0,Noise
00:37:19,00:37:21,0.613,Noise
00:37:23,00:37:25,0.047,Noise
00:37:26,00:37:28,0,Noise
00:37:30,00:37:32,0.953,Noise
00:37:33,00:37:35,0.004,Noise
00:37:37,00:37:39,0.336,Noise
00:37:41,00:37:42,0.797,Noise
00:37:44,00:37:46,0.664,Noise
00:37:48,00:37:50,0,Noise
00:37:51,00:37:53,0.137,Noise
