start,end,score
00:16:52,00:16:54,0.0,Noise
00:16:56,00:16:58,0.027,Noise
00:16:59,00:17:01,0.02,Noise
00:17:02,00:17:04,0.004,Noise
00:17:06,00:17:08,0.016,Noise
00:17:09,00:17:11,0.051,Noise
00:17:12,00:17:14,0.023,Noise
00:17:16,00:17:18,0.008,Noise
00:17:19,00:17:21,0.113,Noise
00:17:22,00:17:24,0.023,Noise
00:17:26,00:17:28,0.023,Noise
00:17:29,00:17:31,0.012,Noise
00:17:32,00:17:34,0.0,Noise
00:17:36,00:17:38,0.004,Noise
00:17:39,00:17:41,0.027,Noise
00:17:42,00:17:44,0.0,Noise
00:17:46,00:17:48,0.02,Noise
00:17:49,00:17:51,0.004,Noise
00:17:52,00:17:54,0.0,Noise
00:17:56,00:17:58,0.008,Noise
00:17:59,00:18:01,0.0,Noise
00:18:02,00:18:04,0.0,Noise
00:18:06,00:18:08,0.0,Noise
00:18:09,00:18:11,0.078,Noise
00:18:12,00:18:14,0.008,Noise
00:18:16,00:18:18,0.379,LNT
00:18:19,00:18:21,0.438,LNT
00:18:22,00:18:24,0.812,LNT
00:18:25,00:18:28,0.812,LNT
00:18:29,00:18:31,0.848,LNT
00:18:32,00:18:34,0.922,LNT
00:18:35,00:18:38,0.621,LNT
00:18:39,00:18:41,0.773,LNT
00:18:42,00:18:44,0.961,LNT
00:18:45,00:18:48,0.773,LNT
00:18:49,00:18:51,0.949,LNT
00:18:52,00:18:54,0.961,LNT
00:18:55,00:18:57,0.324,LNT
00:18:59,00:19:01,0.848,LNT
00:19:02,00:19:04,0.562,LNT
00:19:05,00:19:07,0.812,LNT
00:19:09,00:19:11,0.773,LNT
00:19:12,00:19:14,0.848,LNT
00:19:15,00:19:17,0.961,LNT
00:19:19,00:19:21,0.727,LNT
00:19:22,00:19:24,0.848,LNT
00:19:25,00:19:27,0.727,LNT
00:19:29,00:19:31,0.949,LNT
00:19:32,00:19:34,0.727,LNT
00:19:35,00:19:37,0.621,LNT
00:19:39,00:19:41,0.773,LNT
00:19:42,00:19:44,0.922,LNT
00:19:45,00:19:47,0.562,LNT
00:19:49,00:19:51,0.898,LNT
00:19:52,00:19:54,0.902,LNT
00:19:55,00:19:57,0.324,LNT
00:19:59,00:20:01,0.902,LNT
00:20:02,00:20:04,0.125,LNT
00:20:05,00:20:07,0.727,LNT
00:20:09,00:20:11,0,LNT
00:20:12,00:20:14,0.773,LNT
